,mean,std,min,max,median,q25,q75,range
Axis_1,0.7257429365799557,2.162119820443517,0.0,23.6093,0.0,0.0,0.31271,
Axis_2,3.613373826628352,6.87996172222211,0.0,51.71323,0.0,0.0,4.21719,
Axis_3,2.7103363094877997,5.111900848249546,0.0,41.85556,0.0,0.0,4.58619,
Axis_4,0.6202218496672716,1.5748966448475556,0.0,15.6663,0.0,0.0,0.51619,
Axis_5,0.9545209228171003,2.1001858856533366,0.0,20.75076,0.0,0.0,0.80009,
Axis_6,0.5994270659407139,1.8154979164540022,0.0,20.93142,0.0,0.0,0.36133,
Axis_7,0.8701453917120389,2.1668107124905793,0.0,8.10848,0.0,0.0,0.31003,
Axis_8,0.10221448326275459,0.42307529116634557,0.0,5.90564,0.0,0.0,0.07848,
Time,,,0.0,80794.968,,,,80794.968
