axis,type,start_time,end_time,duration,max_deviation,mean_deviation
2,ALERT,81361.0989069069,81441.97475075074,121.3137657657644,14.642825780668813,10.063529663657889
2,ERROR,84070.43967567568,84110.87759759759,80.87584384383808,19.812532935028152,19.460523697603016
3,ALERT,84353.50512912912,84393.94305105104,80.87584384385264,8.425957203237365,7.690020392143581
3,ALERT,86537.1529129129,86577.59083483483,80.87584384383808,10.888076647675545,9.6213230594348
3,ALERT,86658.46667867867,86698.9046006006,80.87584384385264,10.52111542895784,8.756452132633832
3,ALERT,87062.84589789789,87103.28381981982,80.87584384385264,10.011626654843234,8.912503854195556
2,ERROR,88154.66978978978,88195.10771171171,80.87584384383808,20.125337058962792,18.005941612870757
2,ERROR,88478.17316516516,88518.61108708708,80.87584384383808,19.279140302787646,18.25376709704996
3,ERROR,89367.80744744744,89408.24536936937,80.87584384383808,17.110014419841768,16.858225996173033
3,ALERT,90297.87965165164,90338.31757357357,80.87584384383808,10.526497109987828,10.516780926608217
2,ALERT,90742.69679279279,90783.1347147147,80.87584384383808,8.936852451834872,8.875252679156311
3,ALERT,90864.01055855856,90944.8864024024,121.3137657657644,14.278117163809595,10.174007219997355
2,ALERT,92158.02406006005,92198.46198198198,80.87584384383808,13.22703185190731,11.37858117427626
3,ALERT,92481.52743543543,92521.96535735735,80.87584384383808,7.428349956618137,7.170006313823294
2,ALERT,92926.34457657656,92966.78249849849,80.87584384385264,11.011860588230775,10.302305029152862
3,ALERT,93209.41003003002,93249.84795195195,80.87584384385264,11.797312663914429,11.604260099155493
2,ALERT,93249.84795195195,93290.28587387387,80.87584384383808,11.546765147941406,9.800362937872965
3,ERROR,93694.66509309309,93735.103015015,80.87584384383808,19.281693861907247,17.755120691016312
2,ERROR,94907.80275075074,94988.67859459459,121.31376576577895,18.07422199036949,17.148180669147013
2,ALERT,96848.823003003,96889.26092492492,80.87584384383808,10.27367006565778,9.110807963915946
2,ALERT,97738.45728528527,97778.8952072072,80.87584384385264,9.334127087151675,8.945519965056452
3,ALERT,97981.08481681682,98061.96066066065,121.3137657657644,7.84418872299653,7.556582864463759
3,ALERT,98466.33987987987,98506.7778018018,80.87584384383808,11.98948188790166,10.860778918875159
3,ALERT,98870.7190990991,98911.157021021,80.87584384383808,11.456817921220683,9.857152010677684
2,ALERT,99072.90870870871,99113.34663063062,80.87584384383808,12.259461172953795,10.016412792515194
2,ALERT,99598.6016936937,99639.0396156156,80.87584384383808,11.346629706013388,9.605628184623328
2,ALERT,99922.10506906906,99962.54299099099,80.87584384383808,10.98396149375463,10.155096409252025
2,ALERT,104410.7144024024,104491.59024624624,121.31376576574985,8.673644466509355,7.905330121742722
2,ALERT,104774.6556996997,104815.0936216216,80.87584384383808,13.713878226850039,11.644701981218358
2,ERROR,105502.53829429428,105542.97621621621,80.87584384385264,21.259060267865216,20.384743523426913
2,ERROR,105745.16582582582,105785.60374774774,80.87584384383808,21.166584800262115,19.819871294102356
3,ALERT,106513.48634234234,106553.92426426426,80.87584384383808,10.4026544473628,9.896732378154947
3,ALERT,108656.6962042042,108737.57204804804,121.3137657657644,13.647816927796526,11.314158311492664
2,ERROR,108899.32373573573,108939.76165765765,80.87584384383808,21.310602203568674,18.18343063430185
2,ALERT,110557.27853453453,110597.71645645644,80.87584384383808,8.861688137803132,8.090053188669485
2,ALERT,111325.59905105105,111406.47489489488,121.3137657657644,14.291222534512178,11.053141369442777
3,ALERT,112053.48164564563,112093.91956756756,80.87584384385264,11.65262304825129,10.466003454973166
2,ERROR,112376.98502102101,112457.86086486485,121.3137657657644,21.074111929985722,19.708631286362046
2,ALERT,113549.68475675675,113590.12267867867,80.87584384383808,13.995738247510129,11.170303599237206
3,ERROR,114196.6915075075,114237.12942942942,80.87584384385264,16.813575760362706,16.731142149924555
2,ERROR,115005.44994594593,115045.88786786786,80.87584384385264,21.9686547087548,18.578528480835168
3,ALERT,115531.14293093092,115571.58085285284,80.87584384385264,14.10372463993631,13.989442135220493
2,ALERT,116542.09097897897,116582.52890090088,80.87584384383808,13.756015553439628,11.68781835504165
5,ALERT,119210.99382582582,119251.43174774773,80.87584384383808,7.091425696116016,6.999476668856623
2,ALERT,120343.25563963962,120383.69356156155,80.87584384385264,7.568289933431382,7.563786421612543
2,ERROR,120828.5107027027,120868.94862462461,80.87584384383808,22.30479340642232,19.554017790257287
